CODE_COM_INSEE;LIB_COM;DATE_DEB_INSEE;DATE_FIN_INSEE
01141;CUZIEU;01/01/2000;
01142;DAGNEUX;01/01/1900;31/12/1999
01142;DAGNEUX;01/01/2000;
01143;DIVONNE-LES-BAINS;01/01/1900;31/12/1999
01143;DIVONNE-LES-BAINS;01/01/2000;
01144;DOMMARTIN;01/01/1900;31/12/1999
01144;DOMMARTIN;01/01/2000;
01145;DOMPIERRE-SUR-VEYLE;01/01/1900;31/12/1999
01145;DOMPIERRE-SUR-VEYLE;01/01/2000;
01146;DOMPIERRE-SUR-CHALARONNE;01/01/1900;31/12/1999
01146;DOMPIERRE-SUR-CHALARONNE;01/01/2000;
01147;DOMSURE;01/01/1900;31/12/1999
01147;DOMSURE;01/01/2000;
01148;DORTAN;01/01/1900;31/12/1999
01148;DORTAN;01/01/2000;
01149;DOUVRES;01/01/1900;31/12/1999
01149;DOUVRES;01/01/2000;
01150;DROM;01/01/1900;31/12/1999
01150;DROM;01/01/2000;
01151;DRUILLAT;01/01/1900;31/12/1999
01151;DRUILLAT;01/01/2000;
01152;ECHALLON;01/01/1900;31/12/1999
01152;ECHALLON;01/01/2000;
01153;ECHENEVEX;01/01/1900;31/12/1999
01153;ECHENEVEX;01/01/2000;
01154;ETREZ;01/01/1900;31/12/1999
01154;ETREZ;01/01/2000;
01155;EVOSGES;01/01/1900;31/12/1999
01155;EVOSGES;01/01/2000;
01156;FARAMANS;01/01/1900;31/12/1999
01156;FARAMANS;01/01/2000;
01157;FAREINS;01/01/1900;31/12/1999
01157;FAREINS;01/01/2000;
01158;FARGES;01/01/1900;31/12/1999
01158;FARGES;01/01/2000;
01159;FEILLENS;01/01/1900;31/12/1999
01159;FEILLENS;01/01/2000;
01160;FERNEY-VOLTAIRE;01/01/1900;31/12/1999
01160;FERNEY-VOLTAIRE;01/01/2000;
01162;FLAXIEU;01/01/1900;31/12/1999
01162;FLAXIEU;01/01/2000;
01163;FOISSIAT;01/01/1900;31/12/1999
01163;FOISSIAT;01/01/2000;
01165;AMAREINS-FRANCHELEINS-CESS;01/01/1900;31/12/1999
01165;AMAREINS-FRANCHELEINS-CESS;01/01/2000;
01166;FRANS;01/01/1900;31/12/1999
01166;FRANS;01/01/2000;
01167;GARNERANS;01/01/1900;31/12/1999
01167;GARNERANS;01/01/2000;
01168;GENAY/69278;01/01/1900;31/12/1999
01168;GENAY/69278;01/01/2000;
01169;GENOUILLEUX;01/01/1900;31/12/1999
01169;GENOUILLEUX;01/01/2000;
01170;GEOVREISSIAT;01/01/1900;31/12/1999
01170;GEOVREISSIAT;01/01/2000;
01171;GEOVREISSET;01/01/1900;31/12/1999
01171;GEOVREISSET;01/01/2000;
01172;GERMAGNAT;01/01/1900;31/12/1999
01172;GERMAGNAT;01/01/2000;
01173;GEX;01/01/1900;31/12/1999
01173;GEX;01/01/2000;
01174;GIRON;01/01/1900;31/12/1999
01174;GIRON;01/01/2000;
01175;GORREVOD;01/01/1900;31/12/1999
01175;GORREVOD;01/01/2000;
01176;GRAND-ABERGEMENT;01/01/1900;31/12/1999
01176;GRAND-ABERGEMENT;01/01/2000;31/12/2015
01177;GRAND-CORENT;01/01/1900;31/12/1999
01177;GRAND-CORENT;01/01/2000;
01179;GRIEGES;01/01/1900;31/12/1999
01179;GRIEGES;01/01/2000;
01180;GRILLY;01/01/1900;31/12/1999
01180;GRILLY;01/01/2000;
01181;GROISSIAT;01/01/1900;31/12/1999
01181;GROISSIAT;01/01/2000;
01182;GROSLEE;01/01/1900;31/12/1999
01182;GROSLEE;01/01/2000;31/12/2015
01183;GUEREINS;01/01/1900;31/12/1999
01183;GUEREINS;01/01/2000;
01184;HAUTECOURT-ROMANECHE;01/01/1900;31/12/1999
01184;HAUTECOURT-ROMANECHE;01/01/2000;
01185;HAUTEVILLE-LOMPNES;01/01/1900;31/12/1999
01185;HAUTEVILLE-LOMPNES;01/01/2000;
01186;HOSTIAS;01/01/1900;31/12/1999
01186;HOSTIAS;01/01/2000;
01187;HAUT VALROMEY;01/01/2016;
01187;HOTONNES;01/01/1900;31/12/1999
01187;HOTONNES;01/01/2000;31/12/2015
01188;ILLIAT;01/01/1900;31/12/1999
01188;ILLIAT;01/01/2000;
01189;INJOUX-GENISSIAT;01/01/1900;31/12/1999
01189;INJOUX-GENISSIAT;01/01/2000;
01190;INNIMOND;01/01/1900;31/12/1999
01190;INNIMOND;01/01/2000;
01191;IZENAVE;01/01/1900;31/12/1999
01191;IZENAVE;01/01/2000;
01192;IZERNORE;01/01/1900;31/12/1999
01192;IZERNORE;01/01/2000;
01193;IZIEU;01/01/1900;31/12/1999
01193;IZIEU;01/01/2000;
01194;JASSANS-RIOTTIER;01/01/1900;31/12/1999
01194;JASSANS-RIOTTIER;01/01/2000;
01195;JASSERON;01/01/1900;31/12/1999
01195;JASSERON;01/01/2000;
01196;JAYAT;01/01/1900;31/12/1999
01196;JAYAT;01/01/2000;
01197;JOURNANS;01/01/1900;31/12/1999
01197;JOURNANS;01/01/2000;
