REFERENCE_PE,NOM,CODE_SAFIR,TYPE_SITE,REGION,LIBELLE_REGION,COMPLEMENT_ADRESSE,DC_COMPLEMENTADRSITEPHYSIQUE,ADRESSE,CODE_POSTAL,COMMUNE,DN_LATITUDE,DN_LONGITUDE
ARA0143005267,LYON CONFLUENCE,69225,ALE,84,AUVERGNE-RHONE-ALPES,NULL,IMMEUBLE LE MONOLITHE,59 RUE DENUZIERE,69002,LYON,"45,743015","4,818339"
ARA0144003937,LYON VAISE MASSET,69233,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,29 AVENUE JOANNES MASSET,69009,LYON,"45,768773","4,80112"
ARA0145006034,LYON PART-DIEU,69241,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,26 rue Général Mouton Duvernet,69003,LYON,"45,756304","4,861401"
ARA0147004036,LYON BOLLIER,69256,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,63 RUE ANDRE BOLLIER,69007,LYON,"45,734569","4,831701"
ARA0148005666,BRON - MAI 1945,69272,ALE,84,AUVERGNE-RHONE-ALPES,NULL,NULL,3 AVENUE DU 08 MAI 1945,69500,BRON,"45,727417","4,915572"
ARA0150005594,LYON ALBERT THOMAS,69313,ALE,84,AUVERGNE-RHONE-ALPES,NULL,CAT SUD,68 cours Albert Thomas,69008,LYON,"45,74652","4,867972"
BFC0071006136,DT 39 70 DEC 2018,70007,DDA,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,12 avenue Aristide Briand,39100,DOLE,"47,09461","5,49115"
BFC0084005355,VESOUL,70015,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,4 RUE DU DOCTEUR JEAN GIRARD,70000,VESOUL,"47,623496","6,155884"
BFC0086001265,ARC LES GRAY,70046,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,1 AVENUE DES PARCS,70100,ARC LES GRAY,"47,453462","5,588315"
BFC0080006020,LURE,70062,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,32 rue René Dumont,70200,LURE,"47,691267","6,500524"
BFC0083005075,LUXEUIL,70070,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,ZAC DES 7 CHEVAUX,1 rue Bourgeline,70300,LUXEUIL LES BAINS,"47,81773","6,380245"
BFC0037005886,CHALON NORD,71001,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,19 avenue John Fitzgerald Kennedy,71100,CHALON SUR SAONE,"46,803484","4,860348"
BFC0028000742,DT SAONE ET LOIRE,71002,DDA,27,BOURGOGNE-FRANCHE-COMTE,NULL,CLOS DE LA BIGEONNIERE,1 COURS MOREAU,71000,MACON,"46,309987","4,834608"
BFC0038000748,MACON,71010,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,1000 AV MAL D LATTRE DE TASSIGNY,71000,MACON,"46,310578","4,837825"
BFC0039006075,CHALON CENTRE,71041,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,27-29 avenue Georges Pompidou,71100,CHALON SUR SAONE,"46,780138","4,844987"
BFC0043000786,AUTUN,71056,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,MAISON DE LA FORMATION,RUE EUGENE CHEVALIER,71400,AUTUN,"46,95867","4,2996"
BFC0044005766,LE CREUSOT,71064,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,30B rue de Chanzy,71200,LE CREUSOT,"46,794313","4,443753"
BFC0046005808,MONTCEAU LES MINES,71072,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,5 rue saint-eloi,71300,MONTCEAU LES MINES,"46,674658","4,359156"
BFC0047005609,DIGOIN,71080,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,zone ligerval,1 rue des charmes,71160,DIGOIN,"46,47787","4,002346"
BFC0048000766,LOUHANS,71095,ALE,27,BOURGOGNE-FRANCHE-COMTE,NULL,NULL,4 PROMENADE DES CORDELIERS,71500,LOUHANS,"46,62685","5,226629"
