MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;SITE WEB;ROME;APPELATION;ROME 2;APPELATION 2;ROME 3;APPELATION 3;ROME 4;APPELATION 4;ROME 5;APPELATION 5;ROME 6;APPELATION 6;ROME 7;APPELATION 7;ROME 8;APPELATION 8;ROME 9;APPELATION 9
AI;093;SEINE-SAINT-DENIS;93200;ST DENIS;8810A;Association intermédiaire ;50254663300020;ASSOCIATION SERVICES PERSO;;G1701;Concierge d'entreprise;;;;;;;;;;;;;;;;
ETTI;093;SEINE-SAINT-DENIS;93140;BONDY;7820Z;Société à responsabilité limitée (sans autre indication);41814790600048;SELF INTERIM;;H2206;Aide menuisier;F1703;Maçon-finisseur / Maçonne-finisseuse;N1103;Agent / Agente logistique en magasinage;F1701;AIde coffreur;F1608;Carreleur / Carreleuse;F1603;Plombier / Plombière;F1605;Electricien;N4101;Chauffeur / Chauffeuse de poids lourd;G1603;Agent polyvalent de restauration
ACI;093;SEINE-SAINT-DENIS;93200;ST DENIS;9499Z;Association déclarée d'insertion par l'économique;39887684700037;ASSOC FEMMES ACTIVES;;H2402;Mécanicien / Mécanicienne en confection;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93300;AUBERVILLIERS;8899B;Association déclarée ;43765898200032;ASSOC REGIE QUARTIER MALADRERIE;;I1203;Ouvrier(ère) polyvalent(e) d'entretien des bâtiments;K2204;Agent / Agente d'entretien/propreté d'immeubles;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93210;ST DENIS;8299Z;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;38768261000234;SARL ARES SERVICES;http://www.groupeares.fr;I1203;Ouvrier(ère) polyvalent(e) d'entretien des bâtiments;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93160;NOISY LE GRAND;9499Z;Association déclarée ;44189188400013;ASSOC TAE TRAVAILLER ET APPRENDRE ENSEMBLE;;I1401;Technicien(ne) de maintenance en matériels informatiques;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93500;PANTIN;9499Z;Association déclarée ;75170343000171;CROIX ROUGE INSERTION LOGISCITE;;K1204;Médiateur en économies d'énergie et d'eau;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93300;AUBERVILLIERS;8810C;Association déclarée ;43444766000185;INSTITUT D'EDUCATION ET DES PRATIQUES CITOYENNES;;K1302;Assistant / Assistante de vie;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93600;AULNAY SOUS BOIS;8122Z;Association déclarée ;50980445600010;MENAGE ET PROPRETE;;K2204;Agent / Agente de propreté de locaux;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93150;LE BLANC MESNIL;8122Z;SAS, société par actions simplifiée;48073659400056;RESILIENCE;;K2204;Agent / Agente d'entretien/propreté de locaux;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93150;LE BLANC MESNIL;8899B;Association déclarée ;43461860900029;REGIE DE QUARTIERS NORD BLANC MESNIL;;K2204;Agent / Agente de nettoyage industriel;D1205;Repasseur / Repasseuse;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;8899B;Association déclarée ;44104460900044;ASSOC REGIE QUARTIER MONTREUIL;;K2303;Agent / Agente d'entretien des quartiers;F1606;Peintre en bâtiment;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93200;ST DENIS;9499Z;Association déclarée ;80741624300028;ASSOC PREFIG REGIE DE QUARTIER FLOREAL;;K2303;OPERATEUR/TRICE DE QUARTIER POLYVALENT;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93290;TREMBLAY EN FRANCE;8899B;Association déclarée ;39281437200034;REGIE DE QUARTIER TREMBLAY;;K2303;Agent (e) de nettoyage polyvalent (e);A1203;Ouvrier / Ouvrière d'entretien des espaces verts;I1203;Ouvrier(ère) polyvalent(e) d'entretien des bâtiments;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;8899B;Association déclarée ;38238754600023;ASSOC EMMAUS ALTERNATIVES;;K2303;Ripeur / Ripeuse;N4105;Chauffeur-livreur / Chauffeuse-livreuse;D1214;Vendeur / Vendeuse en prêt-à-porter;N1105;Manutentionnaire;K2303;Agent / Agente d'entretien des quartiers;M1801;Administrateur / Administratrice réseau informatique;;;;;;
ACI;093;SEINE-SAINT-DENIS;93600;AULNAY SOUS BOIS;9499Z;Association déclarée ;52804131200059;ASSOCIATION 2 MAINS;http://www.ressourcerie-2mains.fr/;K2304;Employé polyvalent de ressourcerie;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;5621Z;SARL unipersonnelle ;41307750400087;CREATEUR D'INSTANTS;;K2503;Agent / Agente de surveillance;G1803;Serveur / Serveuse en restauration;N4105;chauffeur-livreur;D1104;Aide-pâtissier / Aide-pâtissière;G1605;Plongeur / Plongeuse en restauration;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93210;ST DENIS;6202A;SAS, société par actions simplifiée;82200166500030;ACCES, INCLUSIVE TECH;;M1810;Opérateur / Opératrice informatique;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93500;PANTIN;3811Z;SAS, société par actions simplifiée;82162170300023;LEMON AIDE;;N1103;Agent Logistique et de Collecte;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;8899B;Association déclarée ;39753671500014;ASSOC NEPTUNE;;N1103;Magasinier / Magasinière;M1601;Employé(e) standard-planning-facturation;D1507;Employé / Employée de rayon librairie papeterie;G1605;Aide de cuisine;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93500;PANTIN;4779Z;Association déclarée ;41190781900022;COUP DE MAIN;www.emmaus-coupdemain.org;N1103;Employé polyvalent vendeur magasinier;K2304;Chauffeur collecte tri revalorisation et reparation;N4105;Chauffeur livreur polyvalent;D1206;Cordonnier / Cordonnière;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93420;VILLEPINTE;8899B;Association déclarée ;42004126100033;LES RESTAURANTS DU COEUR DE LA SEINE SAINT DENIS;;N1103;Préparateur(trice) de commandes en entrepot alimentaire;N4105;Chauffeur-livreur / Chauffeuse-livreuse;I1203;Ouvrier(ère) polyvalent(e) d'entretien des bâtiments;A1416;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;8899B;Association déclarée ;75187049400026;LA COLLECTERIE;;N1105;manutentionnaire/chauffeur collecteur en ressourcerie;D1212;Employé(e) polyvalent(e) de tri, de vente, de caisse;K2304;Agent / Agente de tri déchets d'équipements électriques et é;;;;;;;;;;;;
AI;093;SEINE-SAINT-DENIS;93100;MONTREUIL;7830Z;Association déclarée ;50499856800027;AI LADOMIFA;;N1105;PORTEUR (SE) de courses;K1204;Médiateur(trice) social(e) et culturel(le);;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93230;ROMAINVILLE;8899B;Association déclarée ;83092811500013;ASSOC RE BELLE;http://www.confiturerebelle.fr;N4105;Chauffeur livreur;N1303;Assistant / Assistante logistique;D1104;Agent (e) de production de confiture ;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93500;PANTIN;9499Z;Association déclarée ;75170343000163;CROIX ROUGE INSERTION LOGISTIQUE;;N4105;Conducteur livreur / Conductrice livreuse messagerie;N4101;Conducteur / Conductrice de poids lourd;M1607;Assistant administratif / Assistante administrative;N1303;RECEPTIONNAIRE DE QUAI;N1103;Preparateur/trice de Commandes Polyvalent/e;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93000;BOBIGNY;3832Z;SA coopérative ouvrière de production (SCOP) à conseil d'administration;33368412400840;EBS LE RELAIS NORD PAS DE CALAIS;www.lerelais.org;N4105;Chauffeur collecteur;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;75010;PARIS 10;8899B;Association déclarée ;42334329200011;LES RESTAURANTS DU COEUR DE PARIS;;N4105;CHAUFFEUR - MANUTENTIONNAIRE COLLECTEUR;G1605;Agent / Agente de cuisine;N1103;Aide-magasinier / Aide-magasinière;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;75014;PARIS 14;9499Z;Association déclarée ;34782216500044;ASSOC PERMIS DE VIVRE LA VILLE;;;;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93370;MONTFERMEIL;8899B;Association déclarée ;41362789400046;REGIE DE QUARTIERS LA ROSE DES VENTS;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93500;PANTIN;8121Z;Association déclarée ;43249772500049;LEPOLES;http://lepoles.org/;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93350;LE BOURGET;9499Z;Association déclarée ;50107525300010;ASSOC LES AILES DE LA VILLE;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93450;L ILE ST DENIS;9499Z;Association déclarée ;53466413100024;MODE ESTIME;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93270;SEVRAN;5610A;Association déclarée ;77568497001317;ASSOC AURORE RESTAURANT INSERTION;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93270;SEVRAN;8899B;Association déclarée ;78894733100021;ASSOCIATION GESTION ET DEVELOPPEMENT SOCIAL;;;;;;;;;;;;;;;;;;;
ETTI;093;SEINE-SAINT-DENIS;93160;NOISY LE GRAND;7820Z;Société en nom collectif ;79931299600041;A2I PARIS IDF NORD;;;;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93120;LA COURNEUVE;9499Z;Association déclarée ;83408060800013;LES CITES D'OR;;;;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93000;BOBIGNY;4942Z;Société à responsabilité limitée (sans autre indication);49279134800039;SARL MONTAGES COMPOSANTS MOBILIERS;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93240;STAINS;8899B;Association déclarée ;79418504100025;REGIE DE QUARTIER DU CLOS SAINT LAZARE;;;;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93330;NEUILLY SUR MARNE;5610A;Association déclarée ;38851823500022;ASSOC INSERTION DEFI ECONOMIQUE;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93160;NOISY LE GRAND;9499Z;Association déclarée ;49094842900025;ASSOC PASSERELLE POUR INTEGRATION ET L'INSERTION;;;;;;;;;;;;;;;;;;;
EI;093;SEINE-SAINT-DENIS;93380;PIERREFITTE SUR SEINE;9499Z;Association déclarée ;51353118600023;RAPID PIERREFITTE SUR SEINE;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93120;LA COURNEUVE;8899B;Association déclarée ;34980413800049;JADE;http://www.asso-jade.fr/;;;;;;;;;;;;;;;;;;
AI;093;SEINE-SAINT-DENIS;93260;LES LILAS;8899B;Association déclarée ;35236771800041;ASS AMITIE SOLIDARITE SEINE ST DENIS;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;75020;PARIS 20;8899B;Association déclarée ;77568497001549;ASSOCIATION AURORE;;;;;;;;;;;;;;;;;;;
ACI;093;SEINE-SAINT-DENIS;93390;CLICHY SOUS BOIS;7830Z;Association intermédiaire ;38025324500050;ASSOC ENERGIE;;;;;;;;;;;;;;;;;;;
